Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,3.814000000000000057e+01,2.373000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.905450344085693359e-01,1.000000000000000000e+02,1.000000000000000000e+02,3.807999999999999829e+01,2.373000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980767011642456055e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.100999999999999801e+01,2.725000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970982551574707031e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.046000000000000085e+01,2.744000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.961211919784545898e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.097999999999999687e+01,2.662999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951434850692749023e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.035999999999999943e+01,2.685999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941657066345214844e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.049000000000000199e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931879758834838867e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.103999999999999915e+01,2.733999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.922708272933959961e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.049000000000000199e+01,2.717999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912930965423583984e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.100999999999999801e+01,2.728000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.903153181076049805e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.056000000000000227e+01,2.812000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089337611198425293e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.103999999999999915e+01,2.746999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188359832763671875e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.110000000000000142e+01,2.814999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287430810928344727e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.093999999999999773e+01,2.725000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386453270912170410e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.090999999999999659e+01,2.760000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485475301742553711e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.142999999999999972e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584597563743591309e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.071999999999999886e+01,2.796000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683619785308837891e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.078000000000000114e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782642054557800293e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.097999999999999687e+01,2.833999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
