Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.280000000000000071e+01,2.128999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902224540710449219e-01,1.000000000000000000e+02,1.000000000000000000e+02,2.282999999999999829e+01,2.128999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980453491210937500e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.528000000000000114e+01,2.412000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970667600631713867e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.517999999999999972e+01,2.480000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.960889577865600586e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.608999999999999986e+01,2.448000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951112270355224609e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.537999999999999901e+01,2.528000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941343307495117188e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.582999999999999829e+01,2.460000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931558370590209961e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.560000000000000142e+01,2.441000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921779632568359375e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.576000000000000156e+01,2.382999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912010908126831055e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.582999999999999829e+01,2.376999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902233362197875977e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.546999999999999886e+01,2.464000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089251518249511719e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.589000000000000057e+01,2.385999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188333654403686523e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.621999999999999886e+01,2.453999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287355899810791016e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.644000000000000128e+01,2.476999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386457824707031250e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.689000000000000057e+01,2.444000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
