Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902224540710449219e-01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980444908142089844e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970667123794555664e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.260999999999999943e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.961062908172607422e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951286077499389648e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941509723663330078e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931732654571533203e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.921964168548583984e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912178277969360352e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902402400970458984e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089262533187866211e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188284897804260254e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.244999999999999929e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287345767021179199e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386369109153747559e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485391426086425781e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.584413647651672363e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.683435964584350586e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782460021972656250e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.881533145904541016e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980555462837219238e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.079577708244323730e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.096000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.178599953651428223e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.277622342109680176e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.112000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.376644563674926758e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.096000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.475666809082031250e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.574689149856567383e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.673713111877441406e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.089999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.772736382484436035e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.871757745742797852e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.970786094665527344e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.096000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.069808316230773926e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.241848278045654297e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.340934681892395020e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.439958357810974121e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.538980746269226074e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.638003063201904297e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.737028551101684570e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.260999999999999943e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.836050820350646973e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.244999999999999929e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.935073137283325195e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.034095358848571777e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.133117651939392090e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.232139968872070312e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.331163620948791504e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.430185866355895996e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.529209065437316895e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.628238201141357422e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.727260613441467285e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.826282811164855957e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.925305175781250000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.024327397346496582e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.123349690437316895e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.251000000000000156e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.222371935844421387e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.260999999999999943e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.321444773674011230e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.420467114448547363e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.519489431381225586e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.260999999999999943e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.618511629104614258e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.105999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.717534017562866211e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.253999999999999915e+01,2.100000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.816556310653686523e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.915578627586364746e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.257000000000000028e+01,2.108999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.014600825309753418e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.112000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.113623070716857910e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.260999999999999943e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.212645387649536133e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.264000000000000057e+01,2.103000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
